index,Municipio,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educação_2010,nome_municipio,UF,Municipio_mapa,nome_unico,Pop_2018,Area,pop_por_area
4296,Bannach (PA),594,635,784,420,Bannach,PA,BANNACH PA,Bannach PA,3310,2956.649,1.119510635181924
4663,Banzaê (BA),579,539,769,468,Banzaê,BA,BANZAE BA,Banzaê BA,13217,409.507,32.27539455979996
596,Barão (RS),748,767,836,652,Barão,RS,BARAO RS,Barao RS,6139,124.563,49.28429790547755
1573,Barão de Antonina (SP),711,676,820,649,Barão de Antonina,SP,BARAO DE ANTONINA SP,Barao de Antonina SP,3441,153.142,22.469342179153987
1264,Barão de Cocais (MG),722,679,858,647,Barão de Cocais,MG,BARAO DE COCAIS MG,Barao de Cocais MG,32319,340.585,94.89261124242114
1342,Barão de Cotegipe (RS),719,745,842,593,Barão de Cotegipe,RS,BARAO DE COTEGIPE RS,Barao de Cotegipe RS,6627,260.505,25.439051073875746
4150,Barão de Melgaço (MT),600,598,820,440,Barão de Melgaço,MT,BARAO DE MELGACO MT,Barao de Melgaço MT,8563,11427.74,0.7493170128126821
3139,Barão de Monte Alto (MG),649,619,827,533,Barão de Monte Alto,MG,BARAO DE MONTE ALTO MG,Barao de Monte Alto MG,5443,198.313,27.446511323009588
3912,Barão do Triunfo (RS),610,645,821,428,Barão do Triunfo,RS,BARAO DO TRIUNFO RS,Barao do Triunfo RS,7454,436.481,17.077490200031615
5092,Baraúna (PB),558,526,718,459,Baraúna,PB,BARAUNA PB,Baraúna PB,4831,50.582,95.50828357913882
4764,Baraúna (RN),574,562,756,446,Baraúna,RN,BARAUNA RN,Baraúna RN,27994,825.682,33.90409382789016
247,Barbacena (MG),769,751,881,687,Barbacena,MG,BARBACENA MG,Barbacena MG,154655,1419.916,108.91841489214856
2035,Barbosa Ferraz (PR),696,667,808,625,Barbosa Ferraz,PR,BARBOSA FERRAZ PR,Barbosa Ferraz PR,11714,538.636,21.747525230396786
1944,Barbosa (SP),699,676,843,599,Barbosa,SP,BARBOSA SP,Barbosa SP,7335,205.212,35.74352377053974
2846,Barcarena (PA),662,643,801,564,Barcarena,PA,BARCARENA PA,Barcarena PA,122294,1310.34,93.32997542622526
4921,Barcelona (RN),566,564,726,442,Barcelona,RN,BARCELONA RN,Barcelona RN,4002,152.626,26.220958421238844
5530,Barcelos (AM),500,545,728,315,Barcelos,AM,BARCELOS AM,Barcelos AM,27364,122461.086,0.223450574331833
554,Bariri (SP),750,736,867,662,Bariri,SP,BARIRI SP,Bariri SP,34961,444.405,78.66923189433062
5098,Barra (BA),557,503,750,457,Barra,BA,BARRA BA,Barra BA,53231,11422.537,4.660173129664627
