Municipio_mapa,UF,Latitude,Longitude,Pop_2018,Area,Pop_por_Area,Leitos_por_Mil_Hab,Dominios_Internet_por_Mil_Hab,Atração_Geral,Coef_Gestao_Empresarial,PIB,media_KMG2
AGUA BRANCA PI,PI,-5.8913922,-42.6361148,17349,97.041,178.7801032553251,1.15280419620727,1.26356900809833,25504.5464843714,100.0,174731,0.012277922723125499
AGUA CLARA MS,MS,-20.4385757,-52.8797496,15257,7784.924,1.959813608970364,1.11424264272137,2.96353562685221,2451.85223203208,172.0,1117992,0.012792161969831297
AGUA COMPRIDA MG,MG,-20.0574733,-48.1093074,2005,492.167,4.073820471506623,0.0,3.50175087543772,13.17,,135803,0.001058046037844915
AGUA DOCE DO MARANHAO MA,MA,-2.8402004,-42.1181949,12488,443.267,28.17263635686844,0.0,0.0,1907.5,,73287,3.313161144149901e-05
AGUA DOCE DO NORTE ES,ES,-18.54822,-40.979012,11131,473.729,23.49655604786703,0.0,1.63354206370814,1344.24887198321,,144470,0.0005302432486078586
AGUA DOCE SC,SC,-26.9986047,-51.5529306,7138,1313.974,5.43237537424637,4.20285794340151,5.87823652904129,428.181079057661,,317938,0.04498012114655395
AGUA FRIA BA,BA,-11.8784691,-38.7663706,16901,743.014,22.74654313377675,1.18336193124667,0.824985268120212,360.154075145214,,138677,0.01245062367777639
AGUA FRIA DE GOIAS GO,GO,-14.9803368,-47.7824312,5676,2029.416,2.7968637282843933,2.11416490486258,0.871839581517001,21.7666666666667,,276417,0.022085575220452118
AGUA LIMPA GO,GO,-18.0755648,-48.7620637,1872,452.858,4.133746119092519,0.0,1.08108108108108,51.8700000000001,,43637,0.0003274197372292332
AGUA NOVA RN,RN,-6.2063221,-38.2912678,3230,50.684,63.7281982479678,0.0,1.53751537515375,133.01037037037,,24568,0.00044870723949838435
AGUA PRETA PE,PE,-8.7079109,-35.5198586,36454,533.332,68.35142087855219,1.37159159488671,0.299148785727883,1861.89623463295,,256149,0.014287187951680188
AGUA SANTA RS,RS,-28.1775297,-52.0360304,3753,291.503,12.874653091048806,0.0,2.13447171824973,16.92,,283322,0.0007355877934439313
AGUAI SP,SP,-22.0592036,-46.979384,35954,474.554,75.7637697711957,0.278133170161873,7.05137033466465,628.405064678999,123.0,764288,0.005208875711778695
AGUANIL MG,MG,-20.9424533,-45.3927152,4448,232.091,19.1648965276551,0.0,1.11457868925546,2627.8570654032,,64778,0.00034651110220562415
AGUAS BELAS PE,PE,-9.1113156,-37.1225218,43195,885.988,48.75348198846937,0.694524829262646,0.575466703496536,4729.85618075252,,313427,0.007438250856536589
AGUAS DE LINDOIA SP,SP,-22.4718855,-46.6291034,26463,108.882,243.04292720559872,1.58712164153724,29.0800074948473,17115.6787667654,169.0,607019,0.02485077812864621
AGUAS DE SANTA BARBARA SP,SP,-22.8821912,-49.2383956,6040,404.463,14.933380803682908,0.0,8.39506172839506,2015.23632098565,,157569,0.0024605975688529284
AGUAS FORMOSAS MG,MG,-17.083056,-40.935555,19166,820.079,23.37091914315572,3.39142231034123,2.39496017077107,13390.0054435928,80.0,222103,0.035611958035780454
AGUAS FRIAS SC,SC,-26.8817187,-52.8599756,2378,76.744,30.98613572396539,0.0,4.64919695688926,31.5420122620309,,87691,0.0013628763566108626
AGUAS VERMELHAS MG,MG,-15.7469091,-41.4601975,13477,1256.607,10.724912403002689,3.48742301699191,0.29544279488884,567.593,,184041,0.035983123265964936
AGUDO RS,RS,-29.6423259,-53.2494005,16524,534.624,30.907703357873945,3.20745582183491,5.10297065791872,5940.9956692587,112.0,423647,0.03458447772400828
AGUDOS DO SUL PR,PR,-25.9890808,-49.3328175,9269,192.261,48.21050551073801,0.0,3.09465371892007,102.585813953488,,167967,0.0009567206359311886
AGUDOS SP,SP,-22.4719836,-48.9884476,37023,966.708,38.298017602005984,1.62061421278665,11.5279196001505,4437.55287261619,141.0,2562986,0.02108340680317564
AGUIA BRANCA ES,ES,-18.9847265,-40.7391844,9653,454.448,21.24115410343978,0.0,1.65940676208256,5153.56488941676,50.0,165778,0.0005472376674415857
AGUIAR PB,PB,-7.0928404,-38.1727215,5571,344.708,16.16150480986806,2.15401184706516,0.0,126.011111111111,,44348,0.02214175052801366
AIMORES MG,MG,-19.4917754,-41.0615603,25193,1348.913,18.676519538324563,2.10375898066923,2.66221639448484,10648.2901675403,80.0,410203,0.02254875718378689
AIQUARA BA,BA,-14.126918,-39.8887574,4478,167.877,26.67429129660406,2.90308173291648,0.449842555105713,0.0,,49816,0.029965202342811095
AIUABA CE,CE,-6.5710836,-40.1212278,17303,2434.423,7.107639058618819,1.67600994047275,0.517271107534916,921.852600770238,,101674,0.01740581021976081
AIURUOCA MG,MG,-21.9759554,-44.6036637,6032,649.68,9.28457086565694,4.97347480106101,11.8274196235216,4693.01492127984,,98629,0.054488440023319776
AJURICABA RS,RS,-28.239654,-53.7693013,7063,322.671,21.88916884380685,6.93756194251734,3.13211845102506,369.716666666667,,263539,0.07225935104640775
ALAGOA GRANDE PB,PB,-7.0415212,-35.6285322,28623,320.563,89.28978079191923,1.60709918596933,1.08787198203257,2357.55000005528,,239657,0.016922877959100892
ALAGOA MG,MG,-22.1697202,-44.6400042,2683,161.356,16.627829147970946,6.33619083115915,5.6095736724009,210.229459459459,,31436,0.06668346240168446
ALAGOA NOVA PB,PB,-7.0653703,-35.76695977336711,20589,123.731,166.4013060591121,1.35994948759046,0.431675380114154,354.934126984127,,250857,0.01420295020825293
ALAGOINHA DO PIAUI PI,PI,-7.0090952,-40.939675,7636,535.807,14.251400224334509,1.57150340492404,0.130701869036727,635.183842142395,,45834,0.016197260381326586
ALAGOINHA PB,PB,-6.97063215,-35.51490901897793,14367,96.98,148.1439472056094,0.0,0.621160880668093,1765.54787344324,,99564,0.00022180286933870272
ALAGOINHA PE,PE,-8.50355635,-36.77702243002451,14554,216.452,67.23892595125017,0.755805963996152,0.273298715496037,121.986666666667,,118971,0.007893696718688512
ALAGOINHAS BA,BA,-12.133526,-38.420772,150832,707.558,213.17263037093767,1.68399278667657,5.87086730520594,139007.951037905,414.0,3177575,0.02040206424273339
ALBERTINA MG,MG,-20.66164,-43.784039,3003,58.01,51.76693673504568,0.0,1.6627868307283,0.0,,78420,0.0005087068531573073
ALCANTARA MA,MA,-2.4084996,-44.4174143,22083,1168.246,18.902696863503063,1.08680885749219,0.181020047970313,984.259259259259,,117495,0.011266165235870138
ALCANTARAS CE,CE,-3.586247,-40.5457641,11529,138.605,83.17881750297609,0.0,0.768311422229811,225.45,,59582,0.00024560910140567887
ALCANTIL PB,PB,-7.7425491,-36.0609604,5473,305.988,17.88632233943815,0.0,0.546249089584851,690.51258636788,,38957,0.00017308258830156943
