Municipio_mapa,UF,Município,Latitude,Longitude,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educação_2010,Pop_2018,Area,pop_por_area,VAR01,VAR02,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR99,VAR100,VAR101,VAR102,coef_microregioes,PIB_PerCapita
JACAREACANGA PA,PA,JACAREACANGA,-6.2196518,-57.758625,505,577,800,279,8899,53304.564,0.1669463050105803,8899,53304.564,237881,39068,8940,31406,132575,25892,5,Centro Local,5,Centro Local,,,,,,5,1.46239799789896,1.46239799789896,0.0,,,,,,,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,NÃO,1558.77222222222,0.0,0.0,0.0,0.0,0.0,8273.48333333333,5755.46666666667,0.0,0.0,0.0,-1558.77222222222,-1558.77222222222,-1558.77222222222,-1558.77222222222,-1558.77222222222,6714.71111111111,4196.69444444445,-1558.77222222222,-1558.77222222222,-1558.77222222222,1,NÃO,24,25.26,10,4.31,14.785,,,,,,,,,,6,5,2.69693223957748,5,0.60686976574827,7,7284.1627495,17690.1095345,26014.8669625,31217.840355,0.5,26.731205753455445
JACAREZINHO PR,PR,JACAREZINHO,-23.159115,-49.973889,743,734,844,663,39435,602.528,65.44924053322003,39435,602.528,1142246,135964,244956,486589,169487,105249,3B,Centro Sub-Regional B,4A,Centro de Zona A,4.0,Médio,Centro Sub-Regional,3b,Centro sub-regional B,3,2.99825933842369,2.22010808804005,0.778151250383644,8,166.0,17.0,25.0,67.0,57.0,6,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,SIM,37741.7222917802,11665.5233333333,7941.51000000001,100446.686666667,22375.71,160316.986188141,15243.95,7387.86666666665,0.0,2016.58,49702.7989518831,-26076.198958446897,-29800.21229178019,62704.9643748868,-15366.0122917802,122575.2638963608,-22497.7722917802,-30353.85562511355,-37741.7222917802,-35725.1422917802,11961.076660102904,0,NÃO,61,64.21,80,34.48,49.345,7.0,1.0,1.0,1.0,0.0,1.0,6.0,7.0,7.0,6,3,2.73868391023203,291,7.38991314947433,7,259860.23096775,203947.656898233,230380.115803,363064.825246184,1.5,28.965284645619374
JACIARA MT,MT,JACIARA,-15.9520115,-54.9762106,735,728,833,655,32302,2740.639,11.78630239152256,32302,2740.639,943215,220381,163328,304309,176485,78712,4A,Centro de Zona A,4B,Centro de Zona B,2.0,Fraco,Centro de Zona,,,3,2.68124123737558,2.20411998265592,0.477121254719662,8,160.0,23.0,42.0,53.0,42.0,7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,SIM,23268.0985871439,13700.0333333333,16296.5666666667,6286.63333333333,273.3,8495.2,64858.1166666666,41122.4333333334,0.0,1879.16666666667,75316.3658254469,-9568.0652538106,-6971.5319204772,-16981.465253810573,-22994.7985871439,-14772.8985871439,41590.01807952271,17854.3347461895,-23268.0985871439,-21388.93192047723,52048.267238303,1,NÃO,57,60.0,73,31.47,45.735,8.0,1.0,1.0,0.0,0.0,1.0,6.0,,7.0,6,3,1.88842796111696,181,5.56871673383995,5,184714.332483333,49223.3115626667,250976.794077,176896.275928333,1.0,29.199894743359543
JACINTO MACHADO SC,SC,JACINTO MACHADO,-28.999338,-49.7603204,716,708,818,633,10457,430.704,24.278855083769827,10457,430.704,289858,73320,49886,98678,42519,25456,5,Centro Local,5,Centro Local,,,,,,5,,1.93449845124357,,8,86.0,13.0,33.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,6648.37970457847,80.4554540192488,80.782960146739,0.0,0.0,0.0,0.0,0.0,0.0,55419.8728922819,10902.6857393368,-6567.924250559222,-6567.596744431731,-6648.37970457847,-6648.37970457847,-6648.37970457847,-6648.37970457847,-6648.37970457847,-6648.37970457847,48771.49318770343,4254.3060347583305,0,NÃO,36,37.89,32,13.79,25.84,8.0,1.0,0.0,0.0,0.0,0.0,,,,6,3,3.63392942526537,104,9.98463901689708,7,117908.161166694,61558.7792511,98664.798780175,110556.967447068,0.5,27.719039877593957
JACINTO MG,MG,JACINTO,-16.1460987,-40.2948032,620,595,807,496,12329,1393.609,8.84681427861043,12329,1393.609,100343,12880,5959,30446,48254,2805,5,Centro Local,5,Centro Local,,,,,,5,1.36172783601759,1.36172783601759,0.0,,,,,,,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,NÃO,2245.82021164021,0.0,1049.6,5060.98333333334,0.0,0.0,3161.13333333333,9551.41666666667,0.0,1022.6,2249.14285714286,-2245.82021164021,-1196.22021164021,2815.16312169313,-2245.82021164021,-2245.82021164021,915.31312169312,7305.59645502646,-2245.82021164021,-1223.22021164021,3.322645502650176,0,NÃO,19,20.0,25,10.78,15.39,8.0,1.0,0.0,0.0,0.0,0.0,,,,6,3,3.08216400356882,13,1.05468116177186,7,32565.375472,23260.98248,44195.866712,19771.835108,0.5,8.138778489739638
JACOBINA BA,BA,JACOBINA,-11.1851561,-40.5112434,649,636,772,558,80394,2192.903,36.66099230107306,80394,2192.903,1268886,39589,313045,558186,245647,112419,3B,Centro Sub-Regional B,3A,Centro Sub-Regional A,5.0,Forte para médio,Capital Regional,3a,Centro sub-regional A,3,3.15836249209525,2.38021124171161,0.778151250383644,7,240.0,30.0,77.0,72.0,61.0,6,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,SIM,105285.260213023,170591.19,175324.926666667,126621.31,9420.53333333332,128210.366666667,108088.45,116817.926666667,0.0,65399.0,122842.753609617,65305.92978697701,70039.666453644,21336.049786977004,-95864.72687968968,22925.10645364401,2803.189786977004,11532.666453644008,-105285.260213023,-39886.26021302299,17557.493396594,0,NÃO,58,61.05,83,35.78,48.415,7.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,6.0,6,3,3.59479563151479,413,5.12928786109938,7,283952.23065595,262991.259195867,189116.19053112,86323.58686445,1.5,15.78334204045078
JACOBINA DO PIAUI PI,PI,JACOBINA DO PIAUI,-7.9356495,-41.2106817,535,509,724,416,5753,1333.796,4.313253301104517,5753,1333.796,38253,5053,2213,8711,20034,2241,5,Centro Local,5,Centro Local,,,,,,5,,0.602059991327962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,4223.21617251999,0.0,0.0,0.0,0.0,0.0,4063.83333333334,23315.5,0.0,0.0,14157.5621733598,-4223.21617251999,-4223.21617251999,-4223.21617251999,-4223.21617251999,-4223.21617251999,-159.38283918665047,19092.28382748001,-4223.21617251999,-4223.21617251999,9934.34600083981,1,NÃO,9,9.47,4,1.72,5.595,,,,,,,,,,6,5,0.0,1,0.174185681936945,7,12789.248454,14210.27606,14210.27606,7404.56574326667,0.5,6.649226490526682
JACUI MG,MG,JACUI,-21.0169567,-46.7458301,668,682,810,540,7681,409.229,18.769442048339684,7681,409.229,113398,33975,5524,38020,30790,5090,5,Centro Local,5,Centro Local,,,,,,5,,1.38021124171161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,15.0700960925199,0.0,0.0,0.0,0.0,0.0,150.700960925199,0.0,0.0,0.0,0.0,-15.0700960925199,-15.0700960925199,-15.0700960925199,-15.0700960925199,-15.0700960925199,135.63086483267912,-15.0700960925199,-15.0700960925199,-15.0700960925199,-15.0700960925199,0,NÃO,27,28.42,28,12.07,20.245,8.0,1.0,0.0,0.0,0.0,0.0,,,,6,5,1.56229657596667,19,2.472027062191,7,80448.27285535,18927.473107375,88011.4698454,37045.996198625,0.5,14.76344226012238
JACUIPE AL,AL,JACUIPE,-8.83951,-35.459074,548,532,755,410,7036,208.738,33.70732688825226,7036,208.738,65075,22935,2249,10245,28917,729,5,Centro Local,5,Centro Local,,,,,,5,,0.778151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NÃO,7,7.37,6,2.59,4.98,,,,,,,,,,6,5,0.0,2,0.284859706594502,7,0.0,0.0,0.0,0.0,0.5,9.248862990335418
JACUIZINHO RS,RS,JACUIZINHO,-29.0342213,-53.0534957,662,730,817,487,2679,339.399,7.893364447155118,2679,339.399,105962,68629,3440,15432,16174,2287,5,Centro Local,5,Centro Local,,,,,,5,,1.07918124604762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,202.391666666667,0.0,0.0,0.0,0.0,152.0,0.0,638.5,0.0,0.0,1233.41666666667,-202.391666666667,-202.391666666667,-202.391666666667,-202.391666666667,-50.39166666666699,-202.391666666667,436.108333333333,-202.391666666667,-202.391666666667,1031.0250000000028,0,NÃO,12,12.63,5,2.16,7.395,,,,,,,,,7.0,6,5,0.0,12,4.45765230312036,7,0.0,0.0,0.0,0.0,0.5,39.55281821575215
JACUNDA PA,PA,JACUNDA,-4.446173,-49.115272,622,628,752,509,58457,2008.315,29.10748562849951,58457,2008.315,489016,66543,34211,165099,187319,35843,5,Centro Local,5,Centro Local,,,,,,5,1.77815125038364,1.77815125038364,0.0,,,,,,,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,NÃO,6951.57294764926,3079.81333333334,7560.48333333334,3849.76666666666,0.0,0.0,1374.91666666667,11300.1,0.0,0.0,41812.1013283445,-3871.75961431592,608.9103856840802,-3101.8062809826,-6951.57294764926,-6951.57294764926,-5576.65628098259,4348.527052350741,-6951.57294764926,-6951.57294764926,34860.52838069524,0,NÃO,38,40.0,36,15.52,27.76,8.0,1.0,1.0,0.0,0.0,1.0,,,7.0,6,5,3.07918641052397,44,0.74380863832305,6,0.0,0.0,0.0,0.0,0.5,8.365396787382178
JACUPIRANGA SP,SP,JACUPIRANGA,-24.703773,-48.0060639,717,687,832,644,17842,704.189,25.33694789325025,17842,704.189,445466,148626,24810,187164,62896,21971,5,Centro Local,5,Centro Local,,,,,,4,1.96378782734556,1.96378782734556,0.0,8,92.0,6.0,8.0,40.0,38.0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SIM,4948.35892061607,2500.61666666667,423.8,0.0,0.0,0.0,10431.2956067257,3585.81666666667,0.0,0.0,32542.0602661016,-2447.7422539494,-4524.558920616069,-4948.35892061607,-4948.35892061607,-4948.35892061607,5482.936686109631,-1362.5422539493998,-4948.35892061607,-4948.35892061607,27593.70134548553,0,NÃO,54,56.84,40,17.24,37.04,7.0,1.0,1.0,0.0,1.0,1.0,,,,6,5,0.0,146,8.17194671442964,6,109236.1298993,27522.1358765,63804.31044475,12339.104435,0.5,24.967268243470464
JACUTINGA MG,MG,JACUTINGA,-22.285833,-46.612222,715,722,864,586,25684,347.667,73.87528871017382,25684,347.667,500454,41300,102270,204363,102602,49918,5,Centro Local,4B,Centro de Zona B,,,Centro de Zona,4b,Centro local B,4,2.33645973384853,2.33645973384853,0.0,7,217.0,37.0,61.0,73.0,46.0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SIM,18449.2013226335,147482.657812115,3592.56409985421,450.45,0.0,0.0,12490.0133333333,1472.86666666667,0.0,1001.0,17609.8468699211,129033.45648948153,-14856.63722277929,-17998.7513226335,-18449.2013226335,-18449.2013226335,-5959.187989300201,-16976.33465596683,-18449.2013226335,-17448.2013226335,-839.3544527123995,1,NÃO,60,63.16,56,24.14,43.65,7.0,1.0,1.0,1.0,0.0,1.0,,,7.0,6,3,1.44058557857032,597,22.9800993109819,7,92473.8764201167,35639.1463761666,77834.0663191667,84492.3404665,0.5,19.48504905777916
JACUTINGA RS,RS,JACUTINGA,-27.729135,-52.53724,726,703,855,636,3576,179.238,19.951126435242525,3576,179.238,140346,51541,20866,39778,19811,8351,5,Centro Local,5,Centro Local,,,,,,5,,1.43136376415899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,594.855555555555,660.183333333334,1381.73333333333,640.716666666666,0.0,0.0,1292.15,1594.31666666667,0.0,153.833333333333,0.0,65.32777777777892,786.8777777777749,45.86111111111097,-594.855555555555,-594.855555555555,697.294444444445,999.461111111115,-594.855555555555,-441.022222222222,-594.855555555555,0,NÃO,29,30.53,17,7.33,18.93,8.0,0.0,0.0,0.0,0.0,0.0,,,,6,5,5.31319910514541,10,2.808199943836,7,45320.961428175,16335.43868275,23100.24138205,66206.25651499,0.5,39.24664429530201
JAGUAPITA PR,PR,JAGUAPITA,-23.1102516,-51.5327741,715,714,834,615,13494,475.004,28.408181825837254,13494,475.004,730209,72545,286630,241146,61220,68668,5,Centro Local,5,Centro Local,,,,,,5,1.8750612633917,1.8750612633917,0.0,,,,,,,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,NÃO,2660.35063167038,3972.58333333333,3015.73333333333,1944.56666666667,0.0,0.0,86.9399999999999,3179.10000000001,0.0,724.133333333332,13521.0834042459,1312.2327016629497,355.3827016629498,-715.7839650037101,-2660.35063167038,-2660.35063167038,-2573.41063167038,518.7493683296298,-2660.35063167038,-1936.2172983370483,10860.73277257552,0,NÃO,42,44.21,43,18.53,31.37,7.0,1.0,1.0,1.0,0.0,1.0,,,,6,3,2.07499629464947,70,5.13950073421439,6,219287.736765992,111693.032892417,228511.68704215,298991.495085427,0.5,54.11360604713206
JAGUAQUARA BA,BA,JAGUAQUARA,-13.5294974,-39.9693081,580,586,747,446,54163,924.743,58.57086779786383,54163,924.743,549746,48040,32386,254328,166083,48909,4B,Centro de Zona B,4B,Centro de Zona B,4.0,Médio,Centro de Zona,4b,Centro local B,4,2.3384564936046,2.03742649794062,0.301029995663981,8,109.0,12.0,15.0,42.0,40.0,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SIM,13202.7266151886,38081.6401023494,27361.3666666667,13340.1,486.666666666667,2393.76666666667,11183.6166666667,17878.001095373,0.0,0.0,18354.394898725,24878.913487160804,14158.640051478102,137.37338481140068,-12716.059948521932,-10808.95994852193,-2019.1099485219,4675.274480184402,-13202.7266151886,-13202.7266151886,5151.668283536401,0,NÃO,44,46.32,45,19.4,32.86,8.0,1.0,1.0,0.0,0.0,1.0,,,,6,5,2.16014622528294,74,1.35971923635228,7,258839.802610004,183595.3045304,101678.318661112,117389.170314467,2.0,10.149843989439285
JAGUARAO RS,RS,JAGUARAO,-32.5662724,-53.3765705,707,698,832,608,26869,2052.41,13.09143884506507,26869,2052.41,628713,177757,30487,264704,116030,39734,5,Centro Local,5,Centro Local,,,Centro de Zona,4b,Centro local B,4,2.53402610605613,2.05690485133647,0.477121254719662,8,114.0,15.0,22.0,42.0,35.0,7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SIM,3955.64106428394,5765.26666666665,9057.30000000001,4558.89392691164,402.0,4782.61999999999,5629.85,2098.25,0.0,0.0,7262.23004926109,1809.62560238271,5101.65893571607,603.2528626276999,-3553.64106428394,826.9789357160498,1674.2089357160603,-1857.39106428394,-3955.64106428394,-3955.64106428394,3306.58898497715,0,SIM,58,61.05,59,25.43,43.24,8.0,1.0,1.0,0.0,0.0,1.0,7.0,,,6,3,2.04696862555361,157,5.88455772113943,7,189563.673948133,45979.16478,264927.546274667,76631.9413,0.5,23.399196099594327
